Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",89.250000,-112.550000,180.000000,top
"C2","22uF","C_0805_2012Metric",56.896000,-113.538000,90.000000,top
"D1","1N4148","D_SOD-323F",127.508000,-132.588000,180.000000,top
"K1","G6K-2F-DC5","RELAY_G6K-2F-DC5",128.524000,-123.698000,180.000000,top
"Q1","2N7002","SOT-23",135.900000,-137.600000,90.000000,top
"R1","1K","R_0805_2012Metric",125.700000,-137.650000,90.000000,top
"R2","10k","R_0805_2012Metric",129.600000,-137.650000,90.000000,top
"R3","1K","R_0805_2012Metric",112.014000,-150.876000,180.000000,top
"R4","1K","R_0805_2012Metric",149.860000,-110.998000,180.000000,top
"R5","1K","R_0805_2012Metric",68.834000,-134.874000,270.000000,top
"U1","AMS1117-3.3","SOT-223",140.716000,-126.746000,270.000000,top
"U2","ESP32-WROOM-32","ESP32-WROOM-32",82.050000,-142.655000,0.000000,top
