Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,10uF,C_0805_2012Metric,89.250000,-112.550000,180.000000,top
C2,22uF,C_0805_2012Metric,70.100000,-135.100000,90.000000,top
D1,1N4148,D_SOD-323F,128.500000,-132.000000,180.000000,top
K1,G6K-2F-DC5,RELAY_G6K-2F-DC5,128.524000,-123.698000,180.000000,top
Q1,2N7002,SOT-23,135.900000,-137.600000,90.000000,top
R1,1K,R_0805_2012Metric,125.700000,-137.650000,90.000000,top
R2,10k,R_0805_2012Metric,129.600000,-137.650000,90.000000,top
R3,10K,R_0805_2012Metric,104.650000,-144.100000,90.000000,top
R4,1K,R_0805_2012Metric,118.250000,-106.100000,0.000000,top
R5,10K,R_0805_2012Metric,70.100000,-139.600000,270.000000,top
R6,1K,R_0805_2012Metric,121.850000,-120.350000,270.000000,top
U1,AMS1117-3.3,SOT-223,140.716000,-126.746000,270.000000,top
U2,ESP32-WROOM-32,ESP32-WROOM-32,82.050000,-142.655000,0.000000,top
