Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",151.500000,-90.350000,90.000000,bottom
"C2","22uF","C_0805_2012Metric",121.150000,-91.500000,90.000000,bottom
"D1","1N4148","D_SOD-323F",157.800000,-94.150000,0.000000,bottom
"Q1","2N7002","SOT-23",160.150000,-88.150000,0.000000,bottom
"R1","10K","R_0805_2012Metric",117.750000,-91.500000,270.000000,bottom
"R2","1K","R_0805_2012Metric",155.100000,-89.400000,270.000000,bottom
"R3","10K","R_0805_2012Metric",155.100000,-84.200000,90.000000,bottom
"R4","1K","R_0805_2012Metric",109.800000,-90.200000,0.000000,bottom
"R5","10K","R_0805_2012Metric",124.750000,-91.500000,90.000000,bottom
"U1","AMS1117-3.3","SOT-223",119.550000,-106.600000,0.000000,bottom
"U3","ESP-12F","ESP-12E",136.150000,-96.150000,0.000000,bottom
