Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,135.128000,-73.406000,90.000000,top
C2,22uF,C_0805_2012Metric,152.300000,-79.900000,270.000000,top
D1,1N4148,D_SOD-323F,139.600000,-73.600000,90.000000,top
Q1,2N7002,SOT-23,146.304000,-73.660000,180.000000,top
R1,10K,R_0805_2012Metric,137.500000,-108.200000,0.000000,top
R2,1K,R_0805_2012Metric,175.514000,-81.788000,180.000000,top
R3,10K,R_0805_2012Metric,150.622000,-73.660000,90.000000,top
R4,1K,R_0805_2012Metric,169.926000,-79.756000,0.000000,top
R5,10K,R_0805_2012Metric,174.400000,-98.552000,270.000000,top
U1,AMS1117-3.3,SOT-223,161.798000,-76.454000,90.000000,top
U3,ESP-12F,ESP-12E,163.600000,-96.600000,180.000000,top
